分区         起始位置       大小   
fastboot    0x00002000     4M    
trust       0x00004000     8M    
misc        0x00008000     8M    
deviceinfo  0x000C000      8M    
baseparamer 0x00010000     8M    
logo        0x00014000     40M   
fastplay    0x00028000     52M   
boot        0x00042000     40M   
recovery    0x00056000     64M   
backup      0x00076000     450M  
cache       0x00157000     600M  
resource    0x00283000     12M   
kernel      0x00289000     24M   
system      0x00295000     1024M 
metadata    0x00495000     16M   
factory     0x0049D000     64M   
iptv_data   0x004BD000     50M   
